catchment_id,kge_true
85,
128,-0.4093343811383314
202,-0.3970376269877429
207,
263,
284,-0.15795383449880074
286,-0.6969633627461498
309,-0.7407486791202387
349,-0.48091340327864884
372,-0.6115380874386547
487,-0.0027671656052936644
498,-0.03634379529198073
519,-0.7009991812589644
559,-0.268844046462106
642,-0.685393936284312
780,-0.47794814904466265
788,-0.3463120246965672
790,
792,
793,-0.38195200312350863
800,-0.544722305481119
968,
1006,
1011,
1056,
1082,
1088,
1132,-0.5920831219635829
1153,-0.3415497366982372
1191,-0.43781990245846636
1207,-1.0892782497514206
1209,-0.6829443956420513
1235,-0.7707157411595051
1311,-0.8833099397274948
1372,-0.581630091335344
1378,
1407,
1419,-0.28106554244628357
1451,-0.6617031183570017
1459,
1472,
1480,
1484,-0.3675851709717719
1514,
1536,-0.6774296007835308
1558,
1607,-0.30498428129966304
1614,-0.7108458994774263
1616,
1718,-0.7770713123008088
1743,
1820,
1985,-0.7002154325886027
1990,
2008,
2012,
2172,
2182,
2194,
2195,
2255,
2320,
2376,
2420,
2455,
2640,
2643,
2697,
2756,
2822,
2842,
2846,
2848,
2903,
2929,
2962,
2965,
3101,
3109,
3124,
3151,
3153,
3160,
3166,
3180,
3184,
3204,
3258,
3321,
3355,
4016,
4122,
4216,
4318,
4324,
4416,-0.5744855204439925
4458,
4528,-0.36734074483360835
4538,
5219,
5225,
5226,
5228,
5230,-0.21146385685553026
5231,
5404,
5408,
5420,
5448,
5467,
5480,
5484,
5497,
5507,
5540,
5555,
5560,
5584,
5599,
5652,
5657,-47.31012044619244
5692,
5699,
5715,
5717,
5720,-0.5548075028306703
5800,
5841,-0.5371862138506818
5871,
5933,
5951,
5970,-0.33199899866478044
6001,
6023,
6025,
6117,-0.772298297213333
6205,
6325,
6335,
6485,
6520,
6555,
6572,
6599,
6607,
6623,
6651,
6680,
6734,
6736,
6737,
6741,
6743,
6747,
6756,
6766,
6768,
7051,
7059,
7062,
7072,
7116,
7117,
7167,
7182,
7202,
7206,
7209,
7216,
7249,
7266,
7278,
7288,
7292,
7300,
7306,
7309,
7311,
7327,
7350,
7373,
7415,
7448,
7498,
7507,
7526,
7534,
7544,
7602,
7700,
7717,
7726,
7777,
7814,
7838,
7843,
8492,
8521,
8575,
8654,
8655,
8680,
8690,
8705,
8726,
8751,
8842,
8844,
8929,
8944,
9014,
9022,
9577,
9772,
9867,
9953,
10045,
10055,
10057,
10061,
10387,
10392,
10401,
10402,
10410,
10432,
10447,
10533,
10538,
10547,
10576,
10589,
10607,
11454,
11512,
11543,
11546,
11558,
11578,
11579,
11593,
11611,
11612,
11623,
11650,
11656,
11694,
11730,
11774,
11807,
11823,
11825,
11847,
11855,
11860,
11875,
11911,
11923,
11930,
11951,
11961,
11966,
12001,
12048,
12054,
12055,
12062,
12083,
12088,
12092,
12102,
12109,
12123,
12125,
12155,
12156,
12159,
12255,
12260,
12268,
12277,
12322,
12329,
12344,
12349,
12365,
12377,
12389,
12396,
12403,
12453,
12460,
12471,
12520,
12528,
12538,
12553,
12590,
12595,
12615,
12617,
12620,
12647,
12699,
12702,
12757,
12804,
12826,
12869,
12911,
12932,
12940,
12981,
13000,
13005,
13117,
13120,
13149,
13534,
13589,
13706,
13837,
14132,
14451,
14509,
14571,
14584,
14591,
14665,
14679,
14770,
14837,
15008,
15024,
15038,
15087,
15100,
15107,
15122,
15128,
15145,
15184,
15186,
15193,
15197,
15261,
15265,
15306,
15337,
15342,
15345,
15362,
15374,
15382,
15383,
15397,
15401,
15408,
15410,
15412,
15472,
15474,
15478,
15524,
15530,
15558,
15565,
15579,
15587,
15591,
15603,
15694,
15744,
15764,
15795,
15807,
15822,
15835,
15893,
15908,
15921,
15923,
15933,
15942,
15966,
15968,
15972,
15978,
15986,
15987,
15990,
16000,
16011,
16020,
16022,
16023,
16026,
16057,
16059,
16063,
16074,
16075,
16078,
16086,
16090,
16098,
16119,
16132,
16142,
16155,
16181,
16188,
16194,
16198,
16200,
16204,
16216,
16217,
16308,
16311,
16316,
16329,
16363,
16365,
16381,
16420,
16431,
16444,
16455,
16457,
16458,
16460,
16474,
16487,
16511,
16519,
16526,
16531,
16540,
16549,
16562,
16577,
16594,
16616,
16667,
16729,
16758,
16761,
16805,
16843,
16925,
16938,
16973,
16997,
17008,
17041,
17052,
17069,
17070,
17078,
17148,
17306,
17368,
17518,
17547,
17552,
17562,
17570,
17613,
17621,
17659,
17660,
17690,
17722,
17730,
17777,
17791,
17822,
17848,
17869,
17891,
17894,
17923,
17957,
17981,
17998,
18022,
18188,
18216,
18904,
18907,
18967,
18998,
19029,
19057,
19059,
19112,
19136,
19138,
19152,
19217,
26894,
26902,
26910,
26914,
