Feature,Importance
aridity,0.021899492169699563
moisture_index,0.024220011182934015
pet_mean,0.014857274292646808
precip_mean,0.012450252142470543
seasonality,0.010387381127570152
snow_frac,0.009888768634515713
snow_mean,0.013374338723431753
temp_gradient,0.009744522524745364
temp_mean,0.01539871989342577
precip_high_dur,0.00777692081031712
precip_high_freq,0.008327809006943446
precip_low_dur,0.01011024667224312
precip_low_freq,0.015651322110620897
temp_high_dur,0.0027842759804744374
temp_high_freq,0.0035606976551794596
temp_low_dur,0.008517509094884234
temp_low_freq,0.009319591040881252
elv_mean,0.0076449159471943095
elv_std,0.007605208056445214
elv_min,0.007195949083825706
elv_max,0.008954334633850244
gradient_mean,0.0080170095332882
gradient_std,0.008052057242157894
upArea_max,0.012078280145495578
forest,0.007502742098548302
irrigated,0.003666308153078076
other,0.00699295146826609
rice,0.00119380604519355
sealed,0.0073871911002805594
water,0.006985219972784149
land_use_main,0.00039508557386179363
cropcoef_mean,0.006287559952045444
cropcoef_std,0.006311242699083167
chanbnkf_mean,0.008442910617877013
chanbw_mean,0.006685659369131439
changrad_mean,0.007098244073543724
chanlength_sum,0.011734838209464126
chanman_mean,0.0077275931334272385
chanmct_sum,0.005047338116259513
ksat1,0.006827641452080873
ksat2,0.005874186643992126
ksat3,0.005732323590371386
lambda1,0.006133433289254543
lambda2,0.006278742532844345
lambda3,0.006474644675221408
genua1,0.00628391026757022
genua2,0.005737072054400809
genua3,0.005825422640885622
soildepth1,0.006072116597230187
soildepth2,0.006992471642987732
soildepth3,0.009533564126211548
thetas1,0.0153438551878881
thetas2,0.007917291284071232
thetas3,0.0076925430508286395
thetar1,0.005874738685207474
thetar2,0.005957237145158198
thetar3,0.006116439806265536
lai01,0.005767061941325655
lai02,0.0057648208058709485
lai03,0.00677392443993655
lai04,0.006927638769288742
lai05,0.008145808862121797
lai06,0.009475371107184091
lai07,0.008010593216023631
lai08,0.006900552032933246
lai09,0.006601624572267688
lai10,0.00757787919440382
lai11,0.006987912791333941
lai12,0.006439343440738152
laiyrmean,0.006442798727148549
laiyrmax,0.006480256383061121
laiyrmin,0.006721380157478336
no_reservoirs,0.0
storage_reservoirs,0.0
no_lakes,0.0
area_lakes,0.0
CalChanMan1,0.016834110666630826
CalChanMan3,0.00484350577306492
GwLoss,0.055362185587420606
GwPercValue,0.034723560288692286
UpperZoneTimeConstant,0.03856320299789122
LowerZoneTimeConstant,0.015679797399265956
LZThreshold,0.012927503133286304
PowerPrefFlow,0.06891445295838666
SnowMeltCoef,0.01558594473047495
b_Xinanjiang,0.04311245950480709
TransSub,0.110493097558408
